league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2223,Aston Villa,Philippe Coutinho,1,2022,71,488,F M S,20,750,1,1.3861289341002705,1,1.3861289341002705,0,0.3858625032007694,21,8,3,0,2.819877240806818,1.439754718914628
ENG-Premier League,2223,Aston Villa,Robin Olsen,1,2022,71,6962,GK S,4,277,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0297717992216348,0.0297717992216348
ENG-Premier League,2223,Aston Villa,Tyrone Mings,1,2022,71,1024,D,35,3150,1,1.2113220421597362,1,1.2113220421597362,2,1.1698964163661003,7,5,7,0,11.514379546046255,10.62966813147068
ENG-Premier League,2223,Aston Villa,Álex Moreno,1,2022,71,4120,D S,19,1346,0,0.6219645887613297,0,0.6219645887613297,3,2.47616658359766,13,21,3,0,6.160197624005377,4.4751421278342605
ENG-Premier League,2223,Bournemouth,Adam Smith,1,2022,73,825,D M S,37,2957,0,0.9768042117357254,0,0.9768042117357254,1,1.4084933251142502,5,16,11,0,4.09709825925529,3.0260829851031303
ENG-Premier League,2223,Bournemouth,Antoine Semenyo,1,2022,73,11363,F M S,11,237,1,0.3684318736195564,1,0.3684318736195564,0,0.0759903937578201,3,2,0,0,1.224020279943943,0.7795986160635948
ENG-Premier League,2223,Bournemouth,Ben Pearson,1,2022,73,10742,M S,7,285,0,0.0565079990774393,0,0.0565079990774393,0,0.0,2,0,1,0,0.1892691031098365,0.132760901004076
ENG-Premier League,2223,Bournemouth,Chris Mepham,1,2022,73,7384,D S,26,2197,0,0.5010207425802946,0,0.5010207425802946,0,0.2000297037884593,8,4,7,0,1.9172365125268696,1.744029906578362
ENG-Premier League,2223,Bournemouth,Dango Ouattara,1,2022,73,9662,M S,19,1254,1,3.2873998740687966,1,3.2873998740687966,3,2.4152716528624296,26,18,1,0,6.022867782972753,2.485164679586888
ENG-Premier League,2223,Bournemouth,David Brooks,1,2022,73,6820,M S,6,166,0,0.2445639120414853,0,0.2445639120414853,0,0.1819901317358017,5,2,1,0,0.5240764729678631,0.2133926674723625
ENG-Premier League,2223,Bournemouth,Dominic Solanke,1,2022,73,1679,F M S,33,2874,6,9.317674346268175,6,9.317674346268175,7,3.957623152993619,76,21,2,0,14.145027499645948,3.0667414711788297
ENG-Premier League,2223,Bournemouth,Emiliano Marcondes,1,2022,73,10745,S,1,6,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2223,Bournemouth,Hamed Junior Traore,1,2022,73,6986,M S,7,435,0,0.7354794796556234,0,0.7354794796556234,0,0.8439797200262547,6,14,0,0,2.7735368348658085,1.6735216323286295
ENG-Premier League,2223,Bournemouth,Illia Zabarnyi,1,2022,73,11486,D S,5,290,0,0.0,0,0.0,0,0.0,0,0,0,0,0.631728045642376,0.631728045642376
ENG-Premier League,2223,Bournemouth,Jack Stacey,1,2022,73,7823,D S,10,288,0,0.0468770004808902,0,0.0468770004808902,0,0.0,1,0,2,0,0.1937649995088577,0.1468879990279674
ENG-Premier League,2223,Bournemouth,Jack Stephens,1,2022,73,1735,D S,17,1215,0,0.2225914001464843,0,0.2225914001464843,0,0.2588117085397243,2,3,3,0,1.8634248562157156,1.6748883500695229
ENG-Premier League,2223,Bournemouth,Jaidon Anthony,1,2022,73,10746,D M S,30,1204,3,1.7566156624816358,3,1.7566156624816358,1,0.9099286124110222,21,12,2,0,3.687783553730696,2.180652843788266
ENG-Premier League,2223,Bournemouth,Jamal Lowe,1,2022,73,10865,S,2,9,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2223,Bournemouth,Jefferson Lerma,1,2022,73,2182,D M,37,3263,5,3.1550366831943397,5,3.1550366831943397,0,2.628147560171783,35,18,7,0,7.719455648213625,5.278287973254919
ENG-Premier League,2223,Bournemouth,Joe Rothwell,1,2022,73,561,M S,20,1028,0,0.1488286033272743,0,0.1488286033272743,1,1.1982360780239103,3,8,1,0,2.398142223246396,2.1275645093992352
ENG-Premier League,2223,Bournemouth,Jordan Zemura,1,2022,73,10740,D M S,19,1465,0,0.3462909907102585,0,0.3462909907102585,1,2.14239261392504,4,18,1,0,3.5135136218741536,1.2088170098140836
ENG-Premier League,2223,Bournemouth,Junior Stanislas,1,2022,73,463,S,4,52,0,0.0267488993704319,0,0.0267488993704319,0,0.0846412032842636,1,2,0,0,0.2599279023706913,0.2194729037582874
ENG-Premier League,2223,Bournemouth,Kieffer Moore,1,2022,73,10743,F S,27,1273,4,4.823006581515074,4,4.823006581515074,0,0.5260727815330029,23,5,1,0,5.668356010690332,1.6416367096826434
ENG-Premier League,2223,Bournemouth,Lewis Cook,1,2022,73,1789,M S,28,1694,0,0.183636961504817,0,0.183636961504817,2,2.3000271562486887,6,23,4,0,4.647211663424969,3.693267986178398
ENG-Premier League,2223,Bournemouth,Lloyd Kelly,1,2022,73,8090,D,23,2044,0,0.1227391017600894,0,0.1227391017600894,2,0.3940800903365016,3,7,3,0,2.421963883563876,2.336171578615904
ENG-Premier League,2223,Bournemouth,Marcos Senesi,1,2022,73,10864,D S,31,2508,2,2.0692426282912493,2,2.0692426282912493,0,0.5055976919829845,8,5,7,0,4.307535422034562,3.9094908265396953
ENG-Premier League,2223,Bournemouth,Marcus Tavernier,1,2022,73,10741,D M S,23,1770,5,3.9280984150245786,5,3.9280984150245786,4,2.7044622469693422,37,17,1,0,7.433676986023784,2.7403341960161924
ENG-Premier League,2223,Bournemouth,Mark Travers,1,2022,73,7582,GK S,12,1030,0,0.0,0,0.0,0,0.0,0,0,0,0,0.7557743489742279,0.7557743489742279
ENG-Premier League,2223,Bournemouth,Matias Viña,1,2022,73,9892,D S,12,453,2,0.7529756985604763,2,0.7529756985604763,0,0.1579136550426483,9,2,1,0,1.6716434881091118,0.97148409858346
ENG-Premier League,2223,Bournemouth,Neto,1,2022,73,1297,GK,27,2390,0,0.0,0,0.0,0,0.0,0,0,4,0,1.7215663269162178,1.7215663269162178
ENG-Premier League,2223,Bournemouth,Owen Bevan,1,2022,73,11034,S,1,6,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2223,Bournemouth,Philip Billing,1,2022,73,6034,F M S,36,2822,7,4.894198485650122,7,4.894198485650122,1,3.457261343486607,38,27,5,0,9.995119906961918,3.561682090163231
ENG-Premier League,2223,Bournemouth,Ryan Christie,1,2022,73,10744,F M S,32,1857,1,2.728575311601162,1,2.728575311601162,1,2.0688769351691008,33,29,2,0,7.37087413854897,4.095148157328367
ENG-Premier League,2223,Bournemouth,Ryan Fredericks,1,2022,73,6891,D S,12,524,0,0.0,0,0.0,0,0.0990857034921646,0,1,1,0,0.6325642876327038,0.5334782861173153
ENG-Premier League,2223,Bournemouth,Siriki Dembélé,1,2022,73,10749,S,6,93,0,0.1077635008841753,0,0.1077635008841753,0,0.2604870051145553,2,4,0,0,0.4032813981175422,0.1637520976364612
ENG-Premier League,2223,Brentford,Aaron Hickey,1,2022,244,8942,D S,26,1958,0,0.3167129307985306,0,0.3167129307985306,1,0.6221226900815964,11,6,7,0,2.5498968306928878,2.0008020736277103
ENG-Premier League,2223,Brentford,Ben Mee,1,2022,244,1654,D,37,3278,3,3.2241614628583197,3,3.2241614628583197,1,1.680261291563511,27,7,2,0,6.833911487832665,4.696779150515795
ENG-Premier League,2223,Brentford,Bryan Mbeumo,1,2022,244,6552,F S,38,2991,9,10.100785619579256,8,9.339616828598082,8,7.65799580514431,71,52,5,0,17.531262825243175,5.165040111169219
ENG-Premier League,2223,Brentford,Christian Nørgaard,1,2022,244,7083,M S,22,1794,1,1.347744394093752,1,1.347744394093752,3,3.110040994361043,19,12,6,0,5.920882418751717,5.308457598090172
ENG-Premier League,2223,Brentford,David Raya,1,2022,244,9676,GK,38,3420,0,0.1039170026779174,0,0.1039170026779174,0,0.1581754013895988,1,2,1,0,2.429192343726754,2.2710169572383165
ENG-Premier League,2223,Brentford,Ethan Pinnock,1,2022,244,9678,D,30,2700,3,3.5859055295586586,3,3.5859055295586586,0,0.6192105077207088,15,8,0,0,5.026158023625612,4.340199567377567
ENG-Premier League,2223,Brentford,Frank Onyeka,1,2022,244,9681,M S,21,823,0,1.3004195326939223,0,1.3004195326939223,2,0.9003641102463007,9,7,0,0,3.751063988544047,1.778751190751791
ENG-Premier League,2223,Brentford,Halil Dervisoglu,1,2022,244,9686,S,1,5,0,0.0668924003839492,0,0.0668924003839492,0,0.0,2,0,0,0,0.0668924003839492,0.0
ENG-Premier League,2223,Brentford,Ivan Toney,1,2022,244,998,F,33,2960,20,21.69119757413864,14,16.363018790259957,4,4.909892840310931,94,26,9,0,18.1100468672812,4.024585669860244
ENG-Premier League,2223,Brentford,Josh Dasilva,1,2022,244,10405,M S,36,1374,4,1.5916067343205214,4,1.5916067343205214,2,2.0804033745080237,18,12,1,0,6.89354763738811,3.861876625567674
